"order_id","order_date","ship_date","ship_mode","city","state","postal_code","region"
"CA-2016-152156","08/11/2016","11/11/2016","Second Class","Henderson","Kentucky","42420","South"
"CA-2016-138688","12/06/2016","16/06/2016","Second Class","Los Angeles","California","90036","West"
"US-2015-108966","11/10/2015","18/10/2015","Standard Class","Fort Lauderdale","Florida","33311","South"
"CA-2014-115812","09/06/2014","14/06/2014","Standard Class","Los Angeles","California","90032","West"
"CA-2017-114412","15/04/2017","20/04/2017","Standard Class","Concord","North Carolina","28027","South"
"CA-2016-161389","05/12/2016","10/12/2016","Standard Class","Seattle","Washington","98103","West"
"US-2015-118983","22/11/2015","26/11/2015","Standard Class","Fort Worth","Texas","76106","Central"
"CA-2014-105893","11/11/2014","18/11/2014","Standard Class","Madison","Wisconsin","53711","Central"
"CA-2014-167164","13/05/2014","15/05/2014","Second Class","West Jordan","Utah","84084","West"
"CA-2014-143336","27/08/2014","01/09/2014","Second Class","San Francisco","California","94109","West"
"CA-2016-137330","09/12/2016","13/12/2016","Standard Class","Fremont","Nebraska","68025","Central"
"US-2017-156909","16/07/2017","18/07/2017","Second Class","Philadelphia","Pennsylvania","19140","East"
"CA-2015-106320","25/09/2015","30/09/2015","Standard Class","Orem","Utah","84057","West"
"CA-2016-121755","16/01/2016","20/01/2016","Second Class","Los Angeles","California","90049","West"
"US-2015-150630","17/09/2015","21/09/2015","Standard Class","Philadelphia","Pennsylvania","19140","East"
"CA-2017-107727","19/10/2017","23/10/2017","Second Class","Houston","Texas","77095","Central"
"CA-2016-117590","08/12/2016","10/12/2016","First Class","Richardson","Texas","75080","Central"
"CA-2015-117415","27/12/2015","31/12/2015","Standard Class","Houston","Texas","77041","Central"
"CA-2017-120999","10/09/2017","15/09/2017","Standard Class","Naperville","Illinois","60540","Central"
"CA-2016-101343","17/07/2016","22/07/2016","Standard Class","Los Angeles","California","90049","West"
"CA-2017-139619","19/09/2017","23/09/2017","Standard Class","Melbourne","Florida","32935","South"
"CA-2016-118255","11/03/2016","13/03/2016","First Class","Eagan","Minnesota","55122","Central"
"CA-2014-146703","20/10/2014","25/10/2014","Second Class","Westland","Michigan","48185","Central"
"CA-2016-169194","20/06/2016","25/06/2016","Standard Class","Dover","Delaware","19901","East"
"CA-2015-115742","18/04/2015","22/04/2015","Standard Class","New Albany","Indiana","47150","Central"
"CA-2016-105816","11/12/2016","17/12/2016","Standard Class","New York City","New York","10024","East"
"CA-2016-111682","17/06/2016","18/06/2016","First Class","Troy","New York","12180","East"
"CA-2015-135545","24/11/2015","30/11/2015","Standard Class","Los Angeles","California","90004","West"
"US-2015-164175","30/04/2015","05/05/2015","Standard Class","Chicago","Illinois","60610","Central"
"CA-2014-106376","05/12/2014","10/12/2014","Standard Class","Gilbert","Arizona","85234","West"
"CA-2016-119823","04/06/2016","06/06/2016","First Class","Springfield","Virginia","22153","South"
"CA-2016-106075","18/09/2016","23/09/2016","Standard Class","New York City","New York","10009","East"
"CA-2017-114440","14/09/2017","17/09/2017","Second Class","Jackson","Michigan","49201","Central"
"US-2015-134026","26/04/2015","02/05/2015","Standard Class","Memphis","Tennessee","38109","South"
"US-2017-118038","09/12/2017","11/12/2017","First Class","Houston","Texas","77041","Central"
"US-2014-147606","26/11/2014","01/12/2014","Second Class","Houston","Texas","77070","Central"
"CA-2016-127208","12/06/2016","15/06/2016","First Class","Decatur","Alabama","35601","South"
"CA-2014-139451","12/10/2014","16/10/2014","Standard Class","San Francisco","California","94122","West"
"CA-2015-149734","03/09/2015","08/09/2015","Standard Class","Durham","North Carolina","27707","South"
"US-2017-119662","13/11/2017","16/11/2017","First Class","Chicago","Illinois","60623","Central"
"CA-2017-140088","28/05/2017","30/05/2017","Second Class","Columbia","South Carolina","29203","South"
"CA-2017-155558","26/10/2017","02/11/2017","Standard Class","Rochester","Minnesota","55901","Central"
"CA-2016-159695","05/04/2016","10/04/2016","Second Class","Houston","Texas","77095","Central"
"CA-2016-109806","17/09/2016","22/09/2016","Standard Class","Los Angeles","California","90036","West"
"CA-2015-149587","31/01/2015","05/02/2015","Second Class","Minneapolis","Minnesota","55407","Central"
"US-2017-109484","06/11/2017","12/11/2017","Standard Class","Portland","Oregon","97206","West"
"CA-2017-161018","09/11/2017","11/11/2017","Second Class","New York City","New York","10009","East"
"CA-2017-157833","17/06/2017","20/06/2017","First Class","San Francisco","California","94122","West"
"CA-2016-149223","06/09/2016","11/09/2016","Standard Class","Saint Paul","Minnesota","55106","Central"
"CA-2016-158568","29/08/2016","02/09/2016","Standard Class","Chicago","Illinois","60610","Central"
"CA-2016-129903","01/12/2016","04/12/2016","Second Class","Rochester","Minnesota","55901","Central"
"US-2015-156867","13/11/2015","17/11/2015","Standard Class","Aurora","Colorado","80013","West"
"CA-2017-119004","23/11/2017","28/11/2017","Standard Class","Charlotte","North Carolina","28205","South"
"CA-2015-129476","15/10/2015","20/10/2015","Standard Class","Orland Park","Illinois","60462","Central"
"CA-2017-146780","25/12/2017","30/12/2017","Standard Class","New York City","New York","10035","East"
"CA-2016-128867","03/11/2016","10/11/2016","Standard Class","Urbandale","Iowa","50322","Central"
"CA-2014-115259","25/08/2014","27/08/2014","Second Class","Columbus","Ohio","43229","East"
"CA-2015-110457","02/03/2015","06/03/2015","Standard Class","Seattle","Washington","98103","West"
"US-2015-136476","05/04/2015","10/04/2015","Standard Class","Bristol","Tennessee","37620","South"
"CA-2016-103730","12/06/2016","15/06/2016","First Class","Wilmington","Delaware","19805","East"
"US-2014-152030","26/12/2014","28/12/2014","Second Class","Houston","Texas","77041","Central"
"US-2014-134614","20/09/2014","25/09/2014","Standard Class","Bloomington","Illinois","61701","Central"
"US-2017-107272","05/11/2017","12/11/2017","Standard Class","Phoenix","Arizona","85023","West"
"US-2016-125969","06/11/2016","10/11/2016","Second Class","Los Angeles","California","90004","West"
"US-2017-164147","02/02/2017","05/02/2017","First Class","Columbus","Ohio","43229","East"
"CA-2016-145583","13/10/2016","19/10/2016","Standard Class","Roseville","California","95661","West"
"CA-2016-110366","05/09/2016","07/09/2016","Second Class","Philadelphia","Pennsylvania","19140","East"
"CA-2017-106180","18/09/2017","23/09/2017","Standard Class","San Francisco","California","94122","West"
"CA-2017-155376","22/12/2017","27/12/2017","Standard Class","Independence","Missouri","64055","Central"
"CA-2015-110744","07/09/2015","12/09/2015","Standard Class","Pasadena","California","91104","West"
"CA-2014-110072","22/10/2014","28/10/2014","Standard Class","Newark","Ohio","43055","East"
"CA-2016-114489","05/12/2016","09/12/2016","Standard Class","Franklin","Wisconsin","53132","Central"
"CA-2016-158834","13/03/2016","16/03/2016","First Class","Scottsdale","Arizona","85254","West"
"CA-2015-124919","31/05/2015","02/06/2015","First Class","San Jose","California","95123","West"
"CA-2015-118948","28/05/2015","03/06/2015","Standard Class","Seattle","Washington","98105","West"
"CA-2014-104269","01/03/2014","06/03/2014","Second Class","Seattle","Washington","98115","West"
"CA-2016-114104","20/11/2016","24/11/2016","Standard Class","Edmond","Oklahoma","73034","Central"
"CA-2016-162733","11/05/2016","12/05/2016","First Class","Los Angeles","California","90045","West"
"CA-2015-119697","28/12/2015","31/12/2015","Second Class","Philadelphia","Pennsylvania","19134","East"
"CA-2016-154508","16/11/2016","20/11/2016","Standard Class","Carlsbad","New Mexico","88220","West"
"CA-2016-113817","07/11/2016","11/11/2016","Standard Class","Seattle","Washington","98115","West"
"CA-2014-139892","08/09/2014","12/09/2014","Standard Class","San Antonio","Texas","78207","Central"
"CA-2014-118962","05/08/2014","09/08/2014","Standard Class","Los Angeles","California","90004","West"
"US-2014-100853","14/09/2014","19/09/2014","Standard Class","Chicago","Illinois","60623","Central"
"US-2017-152366","21/04/2017","25/04/2017","Second Class","Houston","Texas","77036","Central"
"US-2015-101511","21/11/2015","23/11/2015","Second Class","Newark","Ohio","43055","East"
"CA-2015-137225","15/12/2015","19/12/2015","Standard Class","New York City","New York","10009","East"
"CA-2014-166191","05/12/2014","09/12/2014","Second Class","Decatur","Illinois","62521","Central"
"CA-2014-158274","19/11/2014","24/11/2014","Second Class","Monroe","Louisiana","71203","South"
"CA-2016-105018","28/11/2016","02/12/2016","Standard Class","Fairfield","Connecticut","6824","East"
"CA-2014-123260","26/08/2014","30/08/2014","Standard Class","Los Angeles","California","90032","West"
"CA-2016-157000","16/07/2016","22/07/2016","Standard Class","Grand Prairie","Texas","75051","Central"
"CA-2015-102281","12/10/2015","14/10/2015","First Class","New York City","New York","10035","East"
"CA-2015-131457","31/10/2015","06/11/2015","Standard Class","Redlands","California","92374","West"
"CA-2014-140004","21/03/2014","25/03/2014","Standard Class","Hamilton","Ohio","45011","East"
"CA-2017-107720","06/11/2017","13/11/2017","Standard Class","Westfield","New Jersey","7090","East"
"US-2017-124303","06/07/2017","13/07/2017","Standard Class","Philadelphia","Pennsylvania","19120","East"
"CA-2017-105074","24/06/2017","29/06/2017","Standard Class","Akron","Ohio","44312","East"
"CA-2014-133690","03/08/2014","05/08/2014","First Class","Denver","Colorado","80219","West"
"US-2017-116701","17/12/2017","21/12/2017","Second Class","Dallas","Texas","75220","Central"
"CA-2017-126382","03/06/2017","07/06/2017","Standard Class","Franklin","Tennessee","37064","South"
"CA-2017-108329","09/12/2017","14/12/2017","Standard Class","Whittier","California","90604","West"
"CA-2017-135860","01/12/2017","07/12/2017","Standard Class","Saginaw","Michigan","48601","Central"
"CA-2015-101007","09/02/2015","13/02/2015","Second Class","Dallas","Texas","75220","Central"
"CA-2015-146262","02/01/2015","09/01/2015","Standard Class","Medina","Ohio","44256","East"
"CA-2016-130162","28/10/2016","01/11/2016","Standard Class","Los Angeles","California","90032","West"
"CA-2015-169397","24/12/2015","27/12/2015","First Class","Dublin","Ohio","43017","East"
"CA-2015-163055","09/08/2015","16/08/2015","Standard Class","Detroit","Michigan","48227","Central"
"US-2015-145436","28/02/2015","04/03/2015","Standard Class","Columbia","Tennessee","38401","South"
"US-2014-156216","13/09/2014","17/09/2014","Standard Class","Charlotte","North Carolina","28205","South"
"US-2017-100930","07/04/2017","12/04/2017","Standard Class","Tampa","Florida","33614","South"
"CA-2017-160514","12/11/2017","16/11/2017","Standard Class","Santa Clara","California","95051","West"
"CA-2016-157749","04/06/2016","09/06/2016","Second Class","Chicago","Illinois","60610","Central"
"CA-2014-131926","01/06/2014","06/06/2014","Second Class","Lakeville","Minnesota","55044","Central"
"CA-2016-154739","10/12/2016","15/12/2016","Second Class","San Francisco","California","94109","West"
"CA-2016-145625","11/09/2016","17/09/2016","Standard Class","San Diego","California","92037","West"
"CA-2016-146941","10/12/2016","13/12/2016","First Class","New York City","New York","10024","East"
"US-2015-159982","28/11/2015","04/12/2015","Standard Class","Chicago","Illinois","60623","Central"
"CA-2017-163139","01/12/2017","03/12/2017","Second Class","New York City","New York","10009","East"
"US-2017-155299","08/06/2017","12/06/2017","Standard Class","Pasadena","Texas","77506","Central"
