"order_id","order_date","ship_date","ship_mode","city","state","postal_code","region","customer_id"
"CA-2016-152156","08/11/2016","11/11/2016","Second Class","Henderson","Kentucky","42420","South","CG-12520"
"CA-2016-138688","12/06/2016","16/06/2016","Second Class","Los Angeles","California","90036","West","DV-13045"
"US-2015-108966","11/10/2015","18/10/2015","Standard Class","Fort Lauderdale","Florida","33311","South","SO-20335"
"CA-2014-115812","09/06/2014","14/06/2014","Standard Class","Los Angeles","California","90032","West","BH-11710"
"CA-2017-114412","15/04/2017","20/04/2017","Standard Class","Concord","North Carolina","28027","South","AA-10480"
"CA-2016-161389","05/12/2016","10/12/2016","Standard Class","Seattle","Washington","98103","West","IM-15070"
"US-2015-118983","22/11/2015","26/11/2015","Standard Class","Fort Worth","Texas","76106","Central","HP-14815"
"CA-2014-105893","11/11/2014","18/11/2014","Standard Class","Madison","Wisconsin","53711","Central","PK-19075"
"CA-2014-167164","13/05/2014","15/05/2014","Second Class","West Jordan","Utah","84084","West","AG-10270"
"CA-2014-143336","27/08/2014","01/09/2014","Second Class","San Francisco","California","94109","West","ZD-21925"
"CA-2016-137330","09/12/2016","13/12/2016","Standard Class","Fremont","Nebraska","68025","Central","KB-16585"
"US-2017-156909","16/07/2017","18/07/2017","Second Class","Philadelphia","Pennsylvania","19140","East","SF-20065"
"CA-2015-106320","25/09/2015","30/09/2015","Standard Class","Orem","Utah","84057","West","EB-13870"
"CA-2016-121755","16/01/2016","20/01/2016","Second Class","Los Angeles","California","90049","West","EH-13945"
"US-2015-150630","17/09/2015","21/09/2015","Standard Class","Philadelphia","Pennsylvania","19140","East","TB-21520"
"CA-2017-107727","19/10/2017","23/10/2017","Second Class","Houston","Texas","77095","Central","MA-17560"
"CA-2016-117590","08/12/2016","10/12/2016","First Class","Richardson","Texas","75080","Central","GH-14485"
"CA-2015-117415","27/12/2015","31/12/2015","Standard Class","Houston","Texas","77041","Central","SN-20710"
"CA-2017-120999","10/09/2017","15/09/2017","Standard Class","Naperville","Illinois","60540","Central","LC-16930"
"CA-2016-101343","17/07/2016","22/07/2016","Standard Class","Los Angeles","California","90049","West","RA-19885"
"CA-2017-139619","19/09/2017","23/09/2017","Standard Class","Melbourne","Florida","32935","South","ES-14080"
